Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
261,Mike Gesicki,CIN,TE,30,3,1,0,0,0,0,0,0,0,,0,10,5,38,7.60,0,0,0,0,,,4,8.8,8.8,6.3,,51,,GesiMi00
262,DJ Giddens,IND,RB,22,3,0,0,0,0,0,0,13,44,3.38,0,1,0,0,,0,0,0,0,,,4,4.4,4.4,4.4,,66,,GiddDJ00
263,Malik Heath,GNB,WR,25,3,0,0,0,0,0,0,0,0,,0,1,1,37,37.00,0,0,0,0,,,4,4.7,4.7,4.2,,110,,HeatMa00
264,Tyler Higbee,LAR,TE,32,3,3,0,0,0,0,0,0,0,,0,6,4,37,9.25,0,0,0,0,,,4,7.7,7.7,5.7,,53,,HigbTy00
265,Dawson Knox,BUF,TE,29,3,3,0,0,0,0,0,0,0,,0,7,4,39,9.75,0,0,0,0,,,4,7.9,7.9,5.9,,49,,KnoxDa00
266,Colston Loveland,CHI,TE,21,3,2,0,0,0,0,0,0,0,,0,6,3,43,14.33,0,0,0,0,,,4,7.3,7.3,5.8,,47,,LoveCo00
267,Adonai Mitchell,IND,WR,23,3,0,0,0,0,0,0,0,0,,0,8,4,41,10.25,0,0,0,0,,,4,8.1,8.1,6.1,,109,,MitcAd00
268,Luke Musgrave,GNB,TE,25,3,1,0,0,0,0,0,0,0,,0,3,3,36,12.00,0,0,0,0,,,4,6.6,6.6,5.1,,54,,MusgLu00
269,Kalif Raymond,DET,WR,31,3,1,0,0,0,0,0,1,9,9.00,0,6,4,34,8.50,0,0,0,0,,,4,8.3,8.3,6.3,,108,,RaymKa00
270,Chris Rodriguez,WAS,RB,25,1,1,0,0,0,0,0,11,39,3.55,0,0,0,0,,0,0,0,0,,,4,3.9,3.9,3.9,,68,,RodrCh00
271,Xavier Smith,LAR,WR,28,3,0,0,0,0,0,0,0,0,,0,1,1,36,36.00,0,0,0,0,,,4,4.6,4.6,4.1,,113,,SmitXa00
272,Mason Taylor,NYJ,TE,21,3,2,0,0,0,0,0,0,0,,0,9,6,43,7.17,0,0,0,0,,,4,10.3,10.3,7.3,,48,,TaylMa02
273,Tommy Tremble,CAR,TE,25,3,2,0,0,0,0,0,0,0,,0,6,6,38,6.33,0,0,0,0,,,4,9.8,9.8,6.8,,52,,TremTo00
274,Zamir White,LVR,RB,26,3,0,0,0,0,0,0,10,25,2.50,0,5,3,19,6.33,0,0,0,0,,,4,7.4,7.4,5.9,,67,,WhitZa01
275,Mo Alie-Cox,IND,TE,32,3,1,0,0,0,0,0,0,0,,0,2,2,28,14.00,0,0,0,0,,,3,4.8,4.8,3.8,,57,,AlieMo00
276,LeQuint Allen,JAX,RB,21,3,0,0,0,0,0,0,3,20,6.67,0,2,2,13,6.50,0,0,0,0,,,3,5.3,5.3,4.3,,70,,AlleLe01
277,Jack Bech,LVR,WR,23,3,0,0,0,0,0,0,0,0,,0,2,2,33,16.50,0,0,0,0,,,3,5.3,5.3,4.3,,114,,BechJa00
278,Chris Brooks,GNB,RB,25,3,0,0,0,0,0,0,1,1,1.00,0,5,4,29,7.25,0,0,0,0,,,3,7.0,7.0,5.0,,71,,BrooCh00
279,Nathan Carter,ATL,RB,23,2,0,0,0,0,0,0,7,46,6.57,0,0,0,0,,0,1,1,0,,,3,2.6,3.6,2.6,,75,,CartNa00
280,Julius Chestnut,TEN,RB,25,3,0,0,0,0,0,0,4,28,7.00,0,0,0,0,,0,0,0,0,,,3,2.8,2.8,2.8,,74,,ChesJu00
281,Tanner Conner,MIA,TE,27,3,0,0,0,0,0,0,0,0,,0,6,3,33,11.00,0,0,0,0,,,3,6.3,6.3,4.8,,55,,ConnTa00
282,Ray Davis,BUF,RB,26,3,0,0,0,0,0,0,10,26,2.60,0,2,1,-1,-1.00,0,0,0,0,,,3,3.5,3.5,3.0,,77,,DaviRa04
283,AJ Dillon,PHI,RB,27,3,0,0,0,0,0,0,6,29,4.83,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,72,,DillAJ00
284,Will Dissly,LAC,TE,29,2,1,0,0,0,0,0,0,0,,0,2,2,25,12.50,0,0,0,0,,,3,4.5,4.5,3.5,,58,,DissWi00
285,Evan Engram,DEN,TE,31,2,0,0,0,0,0,0,0,0,,0,6,4,33,8.25,0,0,0,0,,,3,7.3,7.3,5.3,,56,,EngrEv00
286,Zay Jones,ARI,WR,30,3,0,0,0,0,0,0,0,0,,0,4,3,29,9.67,0,0,0,0,,,3,5.9,5.9,4.4,,118,,JoneZa00
287,Christian Kirk,HOU,WR,29,1,1,0,0,0,0,0,0,0,,0,8,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,119,,KirkCh01
288,Cade Otton,TAM,TE,26,3,3,0,0,0,0,0,0,0,,0,7,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,59,,OttoCa00
289,Nikko Remigio,KAN,WR,26,3,0,0,0,0,0,0,1,11,11.00,0,1,1,21,21.00,0,0,0,0,,,3,4.2,4.2,3.7,,116,,RemiNi00
290,Will Shipley,PHI,RB,23,1,0,0,0,0,0,0,3,26,8.67,0,0,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,76,,ShipWi00
291,Casey Washington,ATL,WR,24,1,1,0,0,0,0,0,0,0,,0,6,3,33,11.00,0,0,0,0,,,3,6.3,6.3,4.8,,115,,WashCa01
292,Justin Watson,HOU,WR,29,2,0,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,117,,WatsJu01
293,Nick Westbrook-Ikhine,MIA,WR,28,3,0,0,0,0,0,0,0,0,,0,5,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,120,,WestNi00
294,Emanuel Wilson,GNB,RB,26,3,0,0,0,0,0,0,7,29,4.14,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,73,,WilsEm00
