Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV,
Chase Brown,RB,11,No,TRUE,92.20,210.1,23.60,259.4,21,27.1,6.1,
Drake London,WR,9,No,TRUE,91.65,187.1,39.77,269.1,22,17.3,-4.7,
Kyren Williams,RB,12,No,TRUE,91.45,209.35,22.85,258.65,23,27.2,4.2,
Tyreek Hill,WR,10,No,TRUE,89.35,184.8,37.47,266.8,24,25.5,1.5,
A.J. Brown,WR,11,No,TRUE,87.05,182.5,35.17,264.5,25,18.5,-6.5,
Lamar Jackson,QB,1,No,TRUE,80.75,211.45,49.24,365.9,26,22.6,-3.4,
Alvin Kamara,RB,13,No,TRUE,79.20,197.1,10.60,246.4,27,40.2,13.2,
James Cook,RB,14,No,TRUE,77.10,195,8.50,244.3,28,32.9,4.9,
George Kittle,TE,3,No,TRUE,76.85,100.6,40.24,216.7,29,37.7,8.7,
Jayden Daniels,QB,2,No,TRUE,76.50,207.2,44.99,361.65,30,31.3,1.3,
Josh Allen,QB,3,No,TRUE,75.60,206.3,44.09,360.75,31,20,-11,
Omarion Hampton,RB,15,Yes,TRUE,75.10,193,6.50,242.3,32,41.3,9.3,
Jalen Hurts,QB,4,No,TRUE,72.85,203.55,41.34,358,33,34.3,1.3,
Tee Higgins,WR,12,No,TRUE,72.15,167.6,20.27,249.6,34,30.6,-3.4,
Chuba Hubbard,RB,16,No,TRUE,69.35,187.25,0.75,236.55,35,46.8,11.8,
Ladd McConkey,WR,13,No,TRUE,69.20,164.65,17.32,246.65,36,24.2,-11.8,
James Conner,RB,17,No,TRUE,68.35,186.25,-0.25,235.55,37,50.6,13.6,
Davante Adams,WR,14,No,TRUE,68.00,163.45,16.12,245.45,38,43.3,5.3,
Terry McLaurin,WR,15,No,TRUE,63.50,158.95,11.62,240.95,39,41.1,2.1,
Garrett Wilson,WR,16,No,TRUE,60.80,156.25,8.92,238.25,40,33.7,-6.3,
DK Metcalf,WR,17,No,TRUE,60.15,155.6,8.27,237.6,41,45.1,4.1,
Marvin Harrison,WR,18,No,TRUE,59.95,155.4,8.07,237.4,42,36.4,-5.6,
Mike Evans,WR,19,No,TRUE,54.80,150.25,2.92,232.25,43,39.2,-3.8,
Jaxon Smith-Njigba,WR,20,No,TRUE,53.70,149.15,1.82,231.15,44,29,-15,
Breece Hall,RB,18,No,TRUE,52.15,170.05,-16.45,219.35,45,34,-11,
DJ Moore,WR,21,No,TRUE,51.55,147,-0.33,229,46,48.4,2.4,
Kenneth Walker,RB,19,No,TRUE,49.20,167.1,-19.40,216.4,47,44,-3,
Xavier Worthy,WR,22,No,TRUE,47.45,142.9,-4.43,224.9,48,55.3,7.3,
Sam LaPorta,TE,4,No,TRUE,47.10,70.85,10.49,186.95,49,47.9,-1.1,
Courtland Sutton,WR,23,No,TRUE,46.60,142.05,-5.28,224.05,50,51.5,1.5,
Joe Burrow,QB,5,No,TRUE,45.25,175.95,13.74,330.4,51,38,-13,
TreVeyon Henderson,RB,20,Yes,TRUE,44.95,162.85,-23.65,212.15,52,60.8,8.8,
Jerry Jeudy,WR,24,No,TRUE,44.15,139.6,-7.73,221.6,53,74.2,21.2,
Calvin Ridley,WR,25,No,TRUE,42.20,137.65,-9.68,219.65,54,72.8,18.8,
T.J. Hockenson,TE,5,No,TRUE,41.70,65.45,5.09,181.55,55,57.4,2.4,
Patrick Mahomes,QB,6,No,TRUE,40.80,171.5,9.29,325.95,56,52.3,-3.7,
Jaylen Waddle,WR,26,No,TRUE,40.15,135.6,-11.73,217.6,57,68.4,11.4,
George Pickens,WR,27,No,TRUE,39.80,135.25,-12.08,217.25,58,58.7,0.7,
DeVonta Smith,WR,28,No,TRUE,39.35,134.8,-12.53,216.8,59,53.6,-5.4,
D'Andre Swift,RB,21,No,TRUE,38.90,156.8,-29.70,206.1,60,69.9,9.9,
Tony Pollard,RB,22,No,TRUE,38.35,156.25,-30.25,205.55,61,76.9,15.9,
Tetairoa McMillan,WR,29,Yes,TRUE,38.00,133.45,-13.88,215.45,62,59.6,-2.4,
Travis Kelce,TE,6,No,TRUE,36.40,60.15,-0.21,176.25,63,62.1,-0.9,
Jameson Williams,WR,30,No,TRUE,36.30,131.75,-15.58,213.75,64,61.2,-2.8,
Zay Flowers,WR,31,No,TRUE,35.75,131.2,-16.13,213.2,65,55.4,-9.6,
RJ Harvey,RB,23,Yes,TRUE,33.80,151.7,-34.80,201,66,64.8,-1.2,
Jakobi Meyers,WR,32,No,TRUE,31.75,127.2,-20.13,209.2,67,82.9,15.9,
Travis Hunter,WR,33,Yes,TRUE,30.65,126.1,-21.23,208.1,68,67.6,-0.4,
David Montgomery,RB,24,No,TRUE,30.60,148.5,-38.00,197.8,69,54.9,-14.1,
Evan Engram,TE,7,No,TRUE,29.25,53,-7.36,169.1,70,81.4,11.4,
David Njoku,TE,8,No,TRUE,28.80,52.55,-7.81,168.65,71,86.3,15.3,
Isiah Pacheco,RB,25,No,TRUE,28.70,146.6,-39.90,195.9,72,62.6,-9.4,
Chris Olave,WR,34,No,TRUE,28.50,123.95,-23.38,205.95,73,75.7,2.7,
Aaron Jones,RB,26,No,TRUE,28.40,146.3,-40.20,195.6,74,69.7,-4.3,
Mark Andrews,TE,9,No,FALSE,28.30,52.05,-8.31,168.15,75,73.3,-1.7,
Rome Odunze,WR,35,No,TRUE,26.85,122.3,-25.03,204.3,76,80.9,4.9,
Jaylen Warren,RB,27,No,TRUE,26.40,144.3,-42.20,193.6,77,96.7,19.7,
Baker Mayfield,QB,7,No,TRUE,25.80,156.5,-5.71,310.95,78,66.6,-11.4,
Kyler Murray,QB,8,No,FALSE,25.05,155.75,-6.46,310.2,79,95.7,16.7,
