Updated,Position Rank,Position,Team,Value,Age,In My table,Rookie,KTC 1QB Position Rank,KTC 1QB Value,FantasyCalc Values ->,FantasyCalc Position Rank,FantasyCalc Value,FantasyCalc 1QB Position Rank,FantasyCalc 1QB Value,Redraft Values ->,KTC Redraft Position Rank,KTC Redraft Value,FantasyCalc Redraft Value
2028 Late 1st,,PI,,4127,,0,,,5118,,,,,,,,,
Courtland Sutton,WR34,WR,DEN,4022,29.8,1,No,WR34,4971,,WR36,2293,WR36,2572,,WR22,5997,2099
Luther Burden,WR35,WR,CHI,3976,21.6,1,Yes,WR35,4945,,WR37,2216,WR37,2485,,WR46,4442,287
Mike Evans,WR36,WR,TBB,3853,32,1,No,WR37,4676,,WR35,2382,WR35,2672,,WR17,6227,2889
Tyreek Hill,WR37,WR,MIA,3747,31.4,1,No,WR40,4549,,WR32,2556,WR32,2866,,WR28,5696,3576
T.J. Hockenson,TE7,TE,MIN,3736,28.1,1,No,TE7,4547,,TE7,2398,TE7,2460,,TE6,5139,1449
Jerry Jeudy,WR38,WR,CLE,3714,26.3,1,No,WR38,4609,,WR38,2055,WR38,2305,,WR39,4902,804
Josh Downs,WR39,WR,IND,3714,24,1,No,WR39,4601,,WR43,1852,WR43,2077,,WR43,4670,456
2025 Early 2nd,,PI,,3704,,0,,,4555,,,,,,,,,
Alvin Kamara,RB22,RB,NOS,3696,30,1,No,RB22,4618,,RB22,2361,RB22,2888,,RB19,5781,3185
Jayden Higgins,WR40,WR,HOU,3695,22.6,1,Yes,WR36,4679,,WR40,1908,WR40,2140,,WR44,4641,303
Justin Fields,QB24,QB,NYJ,3674,26.4,1,No,QB23,3669,,QB24,2443,QB24,1465,,QB22,5087,2719
Tua Tagovailoa,QB25,QB,MIA,3662,27.4,1,No,QB25,3339,,QB25,2343,QB25,1405,,QB25,4545,1552
Davante Adams,WR41,WR,LAR,3563,32.6,1,No,WR41,4523,,WR39,2027,WR39,2274,,WR23,5940,2136
David Montgomery,RB23,RB,DET,3449,28.2,1,No,RB23,4296,,RB23,2017,RB23,2467,,RB23,5260,1430
Tucker Kraft,TE8,TE,GBP,3449,24.8,1,No,TE8,4263,,TE8,2058,TE8,2112,,TE12,4425,449
Zach Charbonnet,RB24,RB,SEA,3446,24.6,1,No,RB24,4284,,RB25,1848,RB25,2261,,RB27,4802,462
Keon Coleman,WR42,WR,BUF,3441,22.2,1,No,WR42,4313,,WR44,1774,WR44,1990,,WR41,4718,317
2026 Early 2nd,,PI,,3436,,0,,,4267,,,,,,,,,
Jayden Reed,WR43,WR,GBP,3429,25.3,1,No,WR44,4282,,WR46,1731,WR46,1942,,WR48,4418,550
